Date,DOW,Calories_total,Calories_bmr,Steps,Floors,Distance_mile,Elevation_foot,Sedentary_min,Light_min,Moderate_min,Very_min,HR_meanresting,HR_outrange_cal,HR_outrange_min,HR_fatburn_cal,HR_fatburn_min,HR_cardio_cal,HR_cardio_min,HR_peak_cal,HR_peak_min
2018-04-15,Sunday,2451,1359,5174,10,1.86,100,466,288,51,30,53,1493.3136,1227,901.1424,205,56.64,8,0,0
2018-04-16,Monday,1887,1359,3487,25,1.14,250,536,160,17,11,52,1604.1392,1377,269.6064,61,13.7824,2,0,0
2018-04-17,Tuesday,2113,1355,3155,35,0.98,350,644,201,30,22,53,1347.80624,1183,645.65512,151,15.25392,2,0,0
2018-04-18,Wednesday,2258,1354,3562,14,1.23,140,558,164,31,66,53,1437.63648,1280,640.6848,134,176.96448,24,0,0
2018-04-19,Thursday,2390,1354,3331,28,1.18,280,627,221,64,34,53,1382.19992,1218,911.81184,208,90.65456,12,0,0
2018-04-20,Friday,2127,1353,5892,30,2.15,300,519,281,20,5,53,1646.02109,1265,414.39608,107,0.0,0,0,0
2018-04-21,Saturday,2307,1353,5479,18,2.05,180,626,238,21,63,55,1319.854,1015,675.954,146,56.4,8,0,0
2018-04-22,Sunday,1968,1353,6176,16,2.51,160,1205,195,35,5,55,1569.74794,1224,224.33026,50,21.33346,3,0,0
2018-04-23,Monday,1985,1353,9759,25,4.21,250,571,139,21,30,55,1330.38088,1219,525.8181,112,29.88564,4,0,0
2018-04-24,Tuesday,2216,1353,2904,18,0.97,180,365,195,31,39,54,1414.06056,1268,684.85336,146,103.93082,14,0,0
2018-04-25,Wednesday,2093,1353,2430,14,0.92,140,374,206,14,33,52,1597.60188,1341,394.91388,84,100.5372,15,0,0
2018-04-26,Thursday,2238,1352,3947,36,1.16,360,391,201,24,57,52,1371.64946,1137,476.68716,102,228.38912,32,0,0
2018-04-27,Friday,1462,1352,347,0,0.07,0,609,56,0,0,52,1462.27261,1440,0.0,0,0.0,0,0,0
2018-04-28,Saturday,1878,1352,2134,10,0.73,100,577,161,17,14,51,1505.28339,1349,341.45676,82,20.6602,3,0,0
2018-04-29,Sunday,2321,1352,3343,7,1.12,70,451,291,22,37,51,1646.05448,1295,566.18339,130,109.31124,15,0,0
2018-04-30,Monday,1813,1352,2018,9,0.75,90,748,181,7,4,52,1505.18948,1328,245.1051,61,0.0,0,0,0
2018-05-01,Tuesday,2249,1352,3759,20,1.13,200,393,223,28,44,53,1277.55164,1065,683.00743,153,86.30329,12,0,0
2018-05-02,Wednesday,1893,1352,3147,22,1.05,220,734,141,17,21,54,1522.75065,1355,285.86204,68,69.77513,10,0,0
2018-05-03,Thursday,2007,1352,2038,4,0.71,40,936,90,20,63,55,1363.29147,1322,361.36568,77,279.8518,39,0,0
2018-05-04,Friday,1724,1352,2099,11,0.68,110,689,148,6,2,54,1578.6271,1400,141.14673,38,0,0,0,0
2018-05-05,Saturday,2104,1352,2692,11,0.97,110,727,176,36,39,54,1507.72505,1315,533.03316,115,56.90946,8,0,0
2018-05-06,Sunday,2242,1352,10135,135,4.13,1350,497,309,7,19,54,2004.22722,1376,223.13016,51,0,0,0,0
2018-05-07,Monday,1779,1352,1945,8,0.66,80,822,172,4,6,55,1424.05124,1267,244.44773,62,7.41889,1,0,0
2018-05-08,Tuesday,1905,1352,4744,15,1.9,150,609,253,0,0,54,1681.36464,1365,180.11938,48,0,0,0,0
